symbol,period_end,announce_date,consolidated,revenue_cr,pat_cr,eps_basic,total_income_cr,announce_lag_days
ABAN,2018-09-30,2018-11-19,Consolidated,219.81,-385.31,-66.02,283.61,50
ABAN,2018-12-31,2019-02-13,Consolidated,194.25,-446.23,-76.46,194.87,44
ABAN,2019-03-31,2019-06-27,Consolidated,138.9,-4129.12,-707.53,139.22,88
ABAN,2019-06-30,2019-08-12,Consolidated,136.8,-386.42,-66.21,138.46,43
ABAN,2019-09-30,2019-11-11,Consolidated,177.89,-364.01,-62.37,181.16,42
ABAN,2019-12-31,2020-02-10,Consolidated,304.96,-416.18,-71.31,307.81,41
ABAN,2020-03-31,2020-06-17,Consolidated,354.39,-7806.0,-1337.56,359.74,78
ABAN,2020-06-30,2020-08-10,Consolidated,296.86,-213.99,-73.34,302.16,41
ABAN,2020-09-30,2020-11-11,Consolidated,293.66,-193.85,-66.44,314.32,42
ABAN,2020-12-31,2021-02-08,Consolidated,214.36,-281.52,-96.48,216.0,39
ABAN,2021-03-31,2021-06-22,Consolidated,264.59,-1283.17,-439.74,460.57,83
ABAN,2021-06-30,2021-07-30,Consolidated,193.15,-256.42,-87.88,194.1,30
ABAN,2021-09-30,2021-11-02,Consolidated,140.28,-248.07,-85.02,143.7,33
ABAN,2021-12-31,2022-02-09,Consolidated,136.58,-327.21,-112.14,138.7,40
ABAN,2022-03-31,2022-05-26,Consolidated,128.32,-1345.38,-230.53,136.8,56
ABAN,2022-06-30,2022-08-03,Consolidated,149.96,-212.87,-72.96,242.5,34
ABAN,2022-09-30,2022-11-09,Consolidated,94.88,-207.53,-35.56,104.79,40
ABAN,2022-12-31,2023-02-03,Consolidated,78.94,-287.41,-49.25,90.38,34
ABAN,2023-03-31,2023-05-24,Consolidated,72.95,-380.59,-129.7,93.38,54
ABAN,2023-06-30,2023-08-02,Consolidated,104.57,-333.25,-57.1,118.78,33
ABAN,2023-09-30,2023-11-01,Consolidated,63.34,-317.71,-54.44,75.03,32
ABAN,2023-12-31,2024-02-09,Consolidated,94.29,-326.79,-56.0,106.47,40
ABAN,2024-03-31,2024-05-27,Consolidated,137.47,-340.14,-58.28,147.46,57
ABAN,2024-06-30,2024-08-05,Consolidated,128.43,-237.66,-40.72,153.36,36
ABAN,2024-09-30,2024-11-08,Consolidated,115.2,-115.31,-19.76,273.38,39
ABAN,2024-12-31,2025-02-11,Consolidated,116.31,-276.55,-47.39,120.36,42
DHFL,2018-06-30,2018-08-31,Non-Consolidated,3149.67,435.02,13.87,3156.09,62
DHFL,2019-03-31,2019-07-23,Non-Consolidated,3103.78,-2223.41,-70.86,3111.34,114
DHFL,2019-12-31,2020-03-02,Consolidated,2431.81,934.31,29.77,2436.88,62
DHFL,2020-03-31,2020-07-06,Consolidated,2623.4,-7507.01,-239.21,2160.98,97
DHFL,2020-06-30,2020-10-05,Consolidated,2324.73,70.1,2.23,2328.86,97
DHFL,2020-12-31,2021-02-14,Consolidated,2206.58,-13095.38,-417.29,2207.46,45
DHFL,2021-03-31,2021-06-16,Consolidated,2034.53,96.75,3.08,2060.57,77
HDFCBANK,2018-06-30,2018-08-10,Non-Consolidated,,4601.44,17.7,26367.04,41
HDFCBANK,2018-12-31,2019-01-21,Non-Consolidated,,5585.85,20.6,30811.27,21
HDFCBANK,2019-03-31,2019-04-23,Non-Consolidated,,5885.12,21.6,31204.46,23
HDFCBANK,2019-06-30,2019-09-09,Consolidated,,5690.8,20.8,34324.45,71
HDFCBANK,2019-09-30,2020-01-24,Consolidated,,6648.8,12.1,36130.96,116
HDFCBANK,2019-12-31,2020-01-21,Consolidated,,7659.96,14.0,38325.7,21
HDFCBANK,2020-03-31,2020-04-20,Consolidated,,7296.71,13.3,38287.17,20
HDFCBANK,2020-06-30,2020-07-29,Consolidated,,6940.88,12.6,36698.59,29
HDFCBANK,2020-09-30,2020-11-05,Consolidated,,7702.86,14.0,38438.47,36
HDFCBANK,2020-12-31,2021-01-18,Consolidated,,8760.19,15.9,39838.73,18
HDFCBANK,2021-06-30,2021-07-19,Consolidated,,7940.28,14.4,38933.63,19
HDFCBANK,2021-09-30,2021-10-18,Consolidated,,9119.96,16.4,41436.36,18
HDFCBANK,2021-12-31,2022-01-17,Consolidated,,10615.77,19.1,43364.96,17
