reconstitution_date,tier,symbol,mcap_rank,avg_mcap_cr,weight_pct,in_liquid_top500
2019-01-31,NIFTY50_proxy,RELIANCE,1,720430.6,14.7819,True
2019-01-31,NIFTY50_proxy,HINDUNILVR,2,374538.7,7.6849,True
2019-01-31,NIFTY50_proxy,ITC,3,343274.9,7.0434,True
2019-01-31,NIFTY50_proxy,KOTAKBANK,4,236018.6,4.8427,True
2019-01-31,NIFTY50_proxy,ICICIBANK,5,234922.9,4.8202,True
2019-01-31,NIFTY50_proxy,LT,6,193822.0,3.9769,True
2019-01-31,NIFTY50_proxy,ONGC,7,186330.5,3.8232,True
2019-01-31,NIFTY50_proxy,COALINDIA,8,148293.5,3.0427,True
2019-01-31,NIFTY50_proxy,HCLTECH,9,139799.4,2.8684,True
2019-01-31,NIFTY50_proxy,IOC,10,129195.7,2.6509,True
2019-01-31,NIFTY50_proxy,ASIANPAINT,11,128119.0,2.6288,True
2019-01-31,NIFTY50_proxy,SUNPHARMA,12,104884.4,2.152,True
2019-01-31,NIFTY50_proxy,POWERGRID,13,99311.0,2.0377,True
2019-01-31,NIFTY50_proxy,BAJAJFINSV,14,95921.7,1.9681,True
2019-01-31,NIFTY50_proxy,M&M,15,87973.5,1.8051,True
2019-01-31,NIFTY50_proxy,TITAN,16,86078.4,1.7662,True
2019-01-31,NIFTY50_proxy,BAJAJ-AUTO,17,78371.2,1.608,True
2019-01-31,NIFTY50_proxy,GAIL,18,77320.2,1.5865,True
2019-01-31,NIFTY50_proxy,BRITANNIA,19,74869.9,1.5362,True
2019-01-31,NIFTY50_proxy,DABUR,20,74674.2,1.5322,True
2019-01-31,NIFTY50_proxy,VEDL,21,73240.9,1.5028,True
2019-01-31,NIFTY50_proxy,GODREJCP,22,72528.1,1.4881,True
2019-01-31,NIFTY50_proxy,BPCL,23,67825.4,1.3917,True
2019-01-31,NIFTY50_proxy,EICHERMOT,24,59518.9,1.2212,True
2019-01-31,NIFTY50_proxy,HEROMOTOCO,25,58848.8,1.2075,True
2019-01-31,NIFTY50_proxy,PIDILITIND,26,57997.8,1.19,True
2019-01-31,NIFTY50_proxy,TATASTEEL,27,57718.9,1.1843,True
2019-01-31,NIFTY50_proxy,GRASIM,28,53592.9,1.0996,True
2019-01-31,NIFTY50_proxy,HINDALCO,29,48137.0,0.9877,True
2019-01-31,NIFTY50_proxy,MARICO,30,47890.2,0.9826,True
2019-01-31,NIFTY50_proxy,HAVELLS,31,44043.5,0.9037,True
2019-01-31,NIFTY50_proxy,PEL,32,43352.6,0.8895,True
2019-01-31,NIFTY50_proxy,DRREDDY,33,42944.6,0.8811,True
2019-01-31,NIFTY50_proxy,CIPLA,34,41672.9,0.8551,True
2019-01-31,NIFTY50_proxy,INDIGO,35,40811.6,0.8374,True
2019-01-31,NIFTY50_proxy,ZEEL,36,38797.4,0.7961,True
2019-01-31,NIFTY50_proxy,LUPIN,37,38503.4,0.79,True
2019-01-31,NIFTY50_proxy,SIEMENS,38,36484.0,0.7486,True
2019-01-31,NIFTY50_proxy,CONCOR,39,32634.0,0.6696,True
2019-01-31,NIFTY50_proxy,DLF,40,31603.0,0.6484,True
2019-01-31,NIFTY50_proxy,GSKCONS,41,31355.8,0.6434,True
2019-01-31,NIFTY50_proxy,NMDC,42,30198.0,0.6196,True
2019-01-31,NIFTY50_proxy,TORNTPHARM,43,30111.4,0.6178,True
2019-01-31,NIFTY50_proxy,HDFCAMC,44,29644.9,0.6083,True
2019-01-31,NIFTY50_proxy,ASHOKLEY,45,28870.1,0.5924,True
2019-01-31,NIFTY50_proxy,MRF,46,28110.3,0.5768,True
2019-01-31,NIFTY50_proxy,HAL,47,25986.1,0.5332,False
2019-01-31,NIFTY50_proxy,GLAXO,48,23806.8,0.4885,True
2019-01-31,NIFTY50_proxy,SAIL,49,21741.3,0.4461,True
2019-01-31,NIFTY50_proxy,BEL,50,21603.7,0.4433,True
2019-07-31,NIFTY50_proxy,RELIANCE,1,524368.9,10.039,True
2019-07-31,NIFTY50_proxy,HDFCBANK,2,474461.7,9.0836,True
2019-07-31,NIFTY50_proxy,ITC,3,348572.2,6.6734,True
2019-07-31,NIFTY50_proxy,HDFC,4,347445.0,6.6518,True
2019-07-31,NIFTY50_proxy,INFY,5,296710.1,5.6805,True
2019-07-31,NIFTY50_proxy,ICICIBANK,6,264174.7,5.0576,True
2019-07-31,NIFTY50_proxy,TCS,7,227479.5,4.3551,True
2019-07-31,NIFTY50_proxy,HINDUNILVR,8,207957.9,3.9814,True
