symbol,first_traded,last_traded,n_days,isin,continuity_id,company_name,listing_date,active_flag,status
20MICRONS,2010-06-10,2026-06-10,3777,INE144J01027,20MICRONS,20 MICRONS LIMITED,2008-10-06,True,active
21STCENMGM,2018-04-10,2026-06-10,1681,INE253B01015,21STCENMGM,21ST CENTURY MANAGEMENT SERVICES LIMITED,1995-05-03,True,active
360ONE,2023-01-23,2026-06-10,834,INE466L01038,360ONE,360 ONE WAM LIMITED,2019-09-19,True,active
3BBLACKBIO,2026-04-20,2026-06-10,36,INE994E01018,3BBLACKBIO,3B BLACKBIO DX LIMITED,2026-04-20,True,active
3IINFOLTD,2021-11-08,2026-06-10,1136,INE748C01038,3IINFOLTD,3I INFOTECH LIMITED,2021-10-22,True,active
3IINFOTECH,2010-06-10,2021-06-08,2443,,3IINFOTECH,,,,inactive
3MINDIA,2010-06-10,2026-06-10,3947,INE470A01017,3MINDIA,3M INDIA LIMITED,2004-08-13,True,active
3PLAND,2018-05-04,2026-06-10,1395,INE105C01023,3PLAND,3P LAND HOLDINGS LIMITED,1995-07-19,True,active
4THDIM,2022-09-22,2022-12-05,50,,4THDIM,,,,inactive
5PAISA,2017-11-30,2026-06-10,2004,INE618L01018,5PAISA,5PAISA CAPITAL LIMITED,2017-11-16,True,active
63MOONS,2017-01-19,2026-06-10,2020,INE111B01023,63MOONS,63 MOONS TECHNOLOGIES LIMITED,2005-06-20,True,active
8KMILES,2014-01-29,2020-09-23,1360,,8KMILES,,,,inactive
A2ZINFRA,2014-12-31,2026-06-10,2199,INE619I01012,A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,2010-12-23,True,active
A2ZMES,2010-12-23,2014-12-30,868,,A2ZMES,,,,inactive
AAATECH,2022-11-28,2026-06-10,674,INE0D0U01013,AAATECH,AAA TECHNOLOGIES LIMITED,2022-11-28,True,active
AADHARHFC,2024-05-15,2026-06-10,513,INE883F01010,AADHARHFC,AADHAR HOUSING FINANCE LIMITED,2024-05-15,True,active
AAKASH,2020-09-29,2026-03-10,967,INE087Z01024,AAKASH,AAKASH EXPLORATION SERVICES LIMITED,2020-09-29,True,inactive
AANJANEYA,2011-05-27,2013-08-29,561,,AANJANEYA,,,,inactive
AAREYDRUGS,2021-08-06,2026-04-29,716,INE198H01019,AAREYDRUGS,AAREY DRUGS AND PHARMACEUTICALS LIMITED,2021-08-06,True,active
AARNAV,2026-02-25,2026-06-10,69,INE750R01016,AARNAV,AARNAV FASHIONS LIMITED,2026-02-25,True,active
AARON,2020-11-06,2026-06-10,1216,INE721Z01010,AARON,AARON INDUSTRIES LIMITED,2020-11-06,True,active
AARTECH,2023-07-10,2026-06-10,507,INE01C001026,AARTECH,AARTECH SOLONICS LIMITED,2023-07-10,True,active
AARTIDRUGS,2010-06-10,2026-06-10,3884,INE767A01016,AARTIDRUGS,AARTI DRUGS LIMITED,2003-09-19,True,active
AARTIIND,2010-06-10,2026-06-10,3937,INE769A01020,AARTIIND,AARTI INDUSTRIES LIMITED,1995-02-08,True,active
AARTIPHARM,2023-02-13,2026-06-10,820,INE0LRU01027,AARTIPHARM,AARTI PHARMALABS LIMITED,2023-01-30,True,active
AARTISURF,2020-11-24,2026-06-10,1243,INE09EO01013,AARTISURF,AARTI SURFACTANTS LIMITED,2020-07-14,True,active
AARVEEDEN,2010-06-10,2024-08-02,3319,,AARVEEDEN,,,,inactive
AARVI,2020-06-24,2026-06-10,1476,INE754X01016,AARVI,AARVI ENCON LIMITED,2020-06-24,True,active
AAVAS,2018-10-08,2026-06-10,1895,INE216P01012,AAVAS,AAVAS FINANCIERS LIMITED,2018-10-08,True,active
ABAN,2010-06-10,2025-09-04,3264,,ABAN,,,,inactive
ABANSENT,2026-04-20,2026-05-04,10,INE365O01028,ABANSENT,ABANS ENTERPRISES LIMITED,2026-04-20,True,active
ABB,2010-06-10,2026-06-10,3937,INE117A01022,ABB,ABB INDIA LIMITED,1995-02-08,True,active
ABBOTINDIA,2010-06-10,2026-06-10,3947,INE358A01014,ABBOTINDIA,ABBOTT INDIA LIMITED,2010-01-08,True,active
ABCAPITAL,2017-09-15,2026-06-10,2153,INE674K01013,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,2017-09-01,True,active
ABCIL,2010-06-10,2016-01-13,1324,,ABCIL,,,,inactive
ABCOTS,2025-09-24,2026-06-10,173,INE08PH01015,ABCOTS,A B COTSPIN INDIA LIMITED,2025-09-24,True,active
ABDL,2024-07-02,2026-06-10,480,INE552Z01027,ABDL,ALLIED BLENDERS AND DISTILLERS LIMITED,2024-07-02,True,active
ABFRL,2016-01-29,2026-06-10,2555,INE647O01011,ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED,2013-07-17,True,active
ABGSEC,2024-07-10,2026-06-10,449,,ABGSEC,,,,active
ABGSHIP,2010-06-10,2017-01-23,1633,,ABGSHIP,,,,inactive
ABHISHEK,2010-06-11,2013-06-04,600,,ABHISHEK,,,,inactive
ABINFRA,2025-01-13,2026-06-10,271,INE00YB01025,ABINFRA,A B INFRABUILD LIMITED,2024-11-08,True,active
ABIRLANUVO,2010-06-10,2017-07-04,1742,,ABIRLANUVO,,,,inactive
ABLBL,2025-07-07,2026-06-10,228,INE14LE01019,ABLBL,ADITYA BIRLA LIFESTYLE BRANDS LIMITED,2025-06-23,True,active
ABMINTLLTD,2021-09-27,2026-06-10,472,INE251C01025,ABMINTLLTD,ABM INTERNATIONAL LIMITED,2021-09-09,True,active
ABMINTLTD,2019-01-22,2021-07-26,130,,ABMINTLTD,,,,inactive
ABMKNO,2026-04-20,2026-06-10,36,INE850B01026,ABMKNO,ABM KNOWLEDGEWARE LIMITED,2026-04-20,True,active
ABREL,2024-10-10,2026-06-10,411,INE055A01016,ABREL,ADITYA BIRLA REAL ESTATE LIMITED,2003-06-27,True,active
ABSHEKINDS,2010-06-10,2011-05-02,151,,ABSHEKINDS,,,,inactive
ABSL10BANK,2026-03-04,2026-06-10,65,,ABSL10BANK,,,,active
ABSLAMC,2021-10-11,2026-06-10,1154,INE404A01024,ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED,2021-10-11,True,active
ABSLBANETF,2019-10-30,2026-06-10,1622,,ABSLBANETF,,,,active
ABSLLIQUID,2023-03-16,2026-06-10,778,,ABSLLIQUID,,,,active
ABSLMSCIN,2026-02-20,2026-06-10,72,,ABSLMSCIN,,,,active
ABSLNN50ET,2018-12-27,2026-06-10,1780,,ABSLNN50ET,,,,active
ABSLPSE,2024-05-23,2026-06-10,507,,ABSLPSE,,,,active
ACC,2010-06-10,2026-06-10,3947,INE012A01025,ACC,ACC LIMITED,1996-11-20,True,active
ACCELYA,2013-03-01,2026-06-10,3267,INE793A01012,ACCELYA,ACCELYA SOLUTIONS INDIA LIMITED,1999-12-01,True,active
ACCURACY,2020-12-11,2026-06-10,1052,INE648Z01023,ACCURACY,ACCURACY SHIPPING LIMITED,2020-12-11,True,active
ACE,2010-06-10,2026-06-10,3931,INE731H01025,ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED,2006-09-26,True,active
ACEINTEG,2022-11-04,2026-06-10,744,INE543V01017,ACEINTEG,ACE INTEGRATED SOLUTIONS LIMITED,2022-11-04,True,active
ACI,2022-11-21,2026-06-10,879,INE128X01021,ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED,2022-11-21,True,active
